Iteration,Health,Infected,Time Elapsed
0,100,0,0
1,97,3,1222273800
2,92,8,1360189100
3,86,14,1362467200
4,78,22,1390525100
5,68,32,1402807400
6,56,44,1425910299
7,42,58,1500564100
8,26,74,1503376300
9,10,90,1505629099
10,10,90,1533395600
11,10,90,1536723400
12,10,90,1537740300
13,10,90,1538677700
14,10,90,1582420099
15,10,90,1584941500
16,10,90,1586076500
17,10,90,1588438900
18,10,90,1594518100
19,10,90,1604628300
20,10,90,1609729800
21,10,90,1613711800
22,10,90,1614532300
23,10,90,1645700100
24,10,90,1646405099
25,10,90,1650519699
26,10,90,1653898499
27,10,90,1709248200
28,10,90,1748923700
29,10,90,1780214700
30,10,90,1781270400
31,10,90,1801176700
32,10,90,1802454600
33,10,90,1815762400
34,10,90,1817373100
35,10,90,1828529099
36,10,90,1837182100
37,10,90,1838530100
38,10,90,1842023800
39,10,90,1870309299
40,10,90,1871177100
41,10,90,1922831200
42,10,90,2185644600
43,10,90,2217932700
44,10,90,2219762300
45,10,90,2235005800
46,10,90,2273114000
47,10,90,2273734699
48,10,90,2293671300
49,10,90,2294580799
50,10,90,2337289000
51,10,90,2337878500
52,10,90,2355588400
53,10,90,2421165400
54,10,90,2422083000
55,10,90,2422683000
56,10,90,2470267800
57,10,90,2470808200
58,10,90,2480072500
59,10,90,2480809400
60,10,90,2501873100
61,10,90,2687171200
62,10,90,2717064100
63,10,90,2717584400
64,10,90,2743825900
65,10,90,2753520100
66,10,90,2772385700
67,10,90,2780076500
68,10,90,2900302300
69,10,90,2996671799
70,10,90,3103402900
71,10,90,3120612800
72,10,90,3121171099
73,10,90,3122018800
74,10,90,3122935400
75,10,90,3123568300
76,10,90,3132867400
77,10,90,3143244199
78,10,90,3148857800
79,10,90,3159823700
80,10,90,3162951800
81,10,90,3163764000
82,10,90,3164308300
83,10,90,3175545099
84,10,90,3176528300
85,10,90,3184621700
86,10,90,3189027799
87,10,90,3196931899
88,10,90,3197494400
89,10,90,3198663599
90,10,90,3199316400
91,10,90,3217902600
92,10,90,3220445700
93,10,90,3222362000
94,10,90,3223355300
95,10,90,3224016900
96,10,90,3225699599
97,10,90,3233394400
98,10,90,3238623500
99,10,90,3239263300
